GISJOIN,YEAR,ZCTA5A,NAME_E,AH1PE001,NAME_M,AH1PM001
G00601,2013-2017,601,ZCTA5 00601,11757,ZCTA5 00601,1287
G00602,2013-2017,602,ZCTA5 00602,16190,ZCTA5 00602,1499
G00603,2013-2017,603,ZCTA5 00603,16645,ZCTA5 00603,952
G00606,2013-2017,606,ZCTA5 00606,13387,ZCTA5 00606,2659
G00610,2013-2017,610,ZCTA5 00610,18741,ZCTA5 00610,1354
G00612,2013-2017,612,ZCTA5 00612,17744,ZCTA5 00612,940
G00616,2013-2017,616,ZCTA5 00616,14918,ZCTA5 00616,1974
G00617,2013-2017,617,ZCTA5 00617,17157,ZCTA5 00617,2141
G00622,2013-2017,622,ZCTA5 00622,16727,ZCTA5 00622,3673
G00623,2013-2017,623,ZCTA5 00623,16401,ZCTA5 00623,1276
G00624,2013-2017,624,ZCTA5 00624,16832,ZCTA5 00624,1469
G00627,2013-2017,627,ZCTA5 00627,17579,ZCTA5 00627,1275
G00631,2013-2017,631,ZCTA5 00631,9632,ZCTA5 00631,2994
G00637,2013-2017,637,ZCTA5 00637,15736,ZCTA5 00637,2051
G00638,2013-2017,638,ZCTA5 00638,14448,ZCTA5 00638,1421
G00641,2013-2017,641,ZCTA5 00641,16292,ZCTA5 00641,1098
G00646,2013-2017,646,ZCTA5 00646,29160,ZCTA5 00646,3088
G00647,2013-2017,647,ZCTA5 00647,13071,ZCTA5 00647,1064
G00650,2013-2017,650,ZCTA5 00650,16095,ZCTA5 00650,3084
G00652,2013-2017,652,ZCTA5 00652,20564,ZCTA5 00652,2727
G00653,2013-2017,653,ZCTA5 00653,12236,ZCTA5 00653,1639
G00656,2013-2017,656,ZCTA5 00656,14966,ZCTA5 00656,1344
G00659,2013-2017,659,ZCTA5 00659,17770,ZCTA5 00659,1471
G00660,2013-2017,660,ZCTA5 00660,19674,ZCTA5 00660,1596
G00662,2013-2017,662,ZCTA5 00662,16771,ZCTA5 00662,1587
G00664,2013-2017,664,ZCTA5 00664,15401,ZCTA5 00664,3283
G00667,2013-2017,667,ZCTA5 00667,13843,ZCTA5 00667,1198
G00669,2013-2017,669,ZCTA5 00669,12996,ZCTA5 00669,1147
G00670,2013-2017,670,ZCTA5 00670,14456,ZCTA5 00670,2814
G00674,2013-2017,674,ZCTA5 00674,18032,ZCTA5 00674,1894
G00676,2013-2017,676,ZCTA5 00676,13416,ZCTA5 00676,1580
G00677,2013-2017,677,ZCTA5 00677,18333,ZCTA5 00677,1699
G00678,2013-2017,678,ZCTA5 00678,15730,ZCTA5 00678,1915
G00680,2013-2017,680,ZCTA5 00680,14500,ZCTA5 00680,782
G00682,2013-2017,682,ZCTA5 00682,15315,ZCTA5 00682,1913
G00683,2013-2017,683,ZCTA5 00683,15043,ZCTA5 00683,1440
G00685,2013-2017,685,ZCTA5 00685,14128,ZCTA5 00685,1164
G00687,2013-2017,687,ZCTA5 00687,18739,ZCTA5 00687,1590
G00688,2013-2017,688,ZCTA5 00688,15918,ZCTA5 00688,2289
G00690,2013-2017,690,ZCTA5 00690,18491,ZCTA5 00690,3012
G00692,2013-2017,692,ZCTA5 00692,18076,ZCTA5 00692,1278
G00693,2013-2017,693,ZCTA5 00693,18971,ZCTA5 00693,1158
G00694,2013-2017,694,ZCTA5 00694,14375,ZCTA5 00694,6621
G00698,2013-2017,698,ZCTA5 00698,14487,ZCTA5 00698,1347
G00703,2013-2017,703,ZCTA5 00703,16532,ZCTA5 00703,1629
G00704,2013-2017,704,ZCTA5 00704,13960,ZCTA5 00704,2487
G00705,2013-2017,705,ZCTA5 00705,18207,ZCTA5 00705,1294
G00707,2013-2017,707,ZCTA5 00707,17489,ZCTA5 00707,3238
G00714,2013-2017,714,ZCTA5 00714,15820,ZCTA5 00714,2360
G00715,2013-2017,715,ZCTA5 00715,12440,ZCTA5 00715,2304
G00716,2013-2017,716,ZCTA5 00716,18514,ZCTA5 00716,1285
G00717,2013-2017,717,ZCTA5 00717,11269,ZCTA5 00717,1205
G00718,2013-2017,718,ZCTA5 00718,18998,ZCTA5 00718,1468
G00719,2013-2017,719,ZCTA5 00719,18401,ZCTA5 00719,1782
G00720,2013-2017,720,ZCTA5 00720,14533,ZCTA5 00720,1423
G00723,2013-2017,723,ZCTA5 00723,14554,ZCTA5 00723,1321
G00725,2013-2017,725,ZCTA5 00725,20374,ZCTA5 00725,994
G00727,2013-2017,727,ZCTA5 00727,30797,ZCTA5 00727,1729
G00728,2013-2017,728,ZCTA5 00728,18097,ZCTA5 00728,1253
G00729,2013-2017,729,ZCTA5 00729,20508,ZCTA5 00729,2075
G00730,2013-2017,730,ZCTA5 00730,15367,ZCTA5 00730,1009
G00731,2013-2017,731,ZCTA5 00731,16389,ZCTA5 00731,3674
G00735,2013-2017,735,ZCTA5 00735,18947,ZCTA5 00735,2201
G00736,2013-2017,736,ZCTA5 00736,20166,ZCTA5 00736,1382
G00738,2013-2017,738,ZCTA5 00738,19284,ZCTA5 00738,1438
G00739,2013-2017,739,ZCTA5 00739,20619,ZCTA5 00739,1409
G00740,2013-2017,740,ZCTA5 00740,12934,ZCTA5 00740,5663
G00741,2013-2017,741,ZCTA5 00741,22766,ZCTA5 00741,6967
G00745,2013-2017,745,ZCTA5 00745,22909,ZCTA5 00745,1544
G00751,2013-2017,751,ZCTA5 00751,16188,ZCTA5 00751,1533
G00754,2013-2017,754,ZCTA5 00754,18594,ZCTA5 00754,1149
G00757,2013-2017,757,ZCTA5 00757,16816,ZCTA5 00757,2183
G00765,2013-2017,765,ZCTA5 00765,16149,ZCTA5 00765,2392
G00766,2013-2017,766,ZCTA5 00766,19595,ZCTA5 00766,1842
G00767,2013-2017,767,ZCTA5 00767,15573,ZCTA5 00767,1466
G00769,2013-2017,769,ZCTA5 00769,19215,ZCTA5 00769,2056
G00771,2013-2017,771,ZCTA5 00771,20332,ZCTA5 00771,2142
G00772,2013-2017,772,ZCTA5 00772,15032,ZCTA5 00772,1665
G00773,2013-2017,773,ZCTA5 00773,19377,ZCTA5 00773,2199
G00775,2013-2017,775,ZCTA5 00775,23092,ZCTA5 00775,3832
G00777,2013-2017,777,ZCTA5 00777,18684,ZCTA5 00777,1366
G00778,2013-2017,778,ZCTA5 00778,32708,ZCTA5 00778,2558
G00780,2013-2017,780,ZCTA5 00780,21834,ZCTA5 00780,2868
G00782,2013-2017,782,ZCTA5 00782,13073,ZCTA5 00782,1392
G00783,2013-2017,783,ZCTA5 00783,14476,ZCTA5 00783,1165
G00784,2013-2017,784,ZCTA5 00784,15653,ZCTA5 00784,1206
G00786,2013-2017,786,ZCTA5 00786,,ZCTA5 00786,
G00791,2013-2017,791,ZCTA5 00791,18595,ZCTA5 00791,1133
G00794,2013-2017,794,ZCTA5 00794,15667,ZCTA5 00794,1499
G00795,2013-2017,795,ZCTA5 00795,20430,ZCTA5 00795,1428
G00901,2013-2017,901,ZCTA5 00901,16929,ZCTA5 00901,2913
G00906,2013-2017,906,ZCTA5 00906,101346,ZCTA5 00906,65162
G00907,2013-2017,907,ZCTA5 00907,32601,ZCTA5 00907,3440
G00909,2013-2017,909,ZCTA5 00909,17959,ZCTA5 00909,2189
G00911,2013-2017,911,ZCTA5 00911,30978,ZCTA5 00911,2532
G00912,2013-2017,912,ZCTA5 00912,21744,ZCTA5 00912,2972
G00913,2013-2017,913,ZCTA5 00913,5902,ZCTA5 00913,1529
G00915,2013-2017,915,ZCTA5 00915,14048,ZCTA5 00915,791
G00917,2013-2017,917,ZCTA5 00917,15508,ZCTA5 00917,1422
G00918,2013-2017,918,ZCTA5 00918,23333,ZCTA5 00918,3634
G00920,2013-2017,920,ZCTA5 00920,25433,ZCTA5 00920,1963
G00921,2013-2017,921,ZCTA5 00921,18690,ZCTA5 00921,1630
G00923,2013-2017,923,ZCTA5 00923,14041,ZCTA5 00923,999
G00924,2013-2017,924,ZCTA5 00924,19303,ZCTA5 00924,1364
G00925,2013-2017,925,ZCTA5 00925,9903,ZCTA5 00925,1851
G00926,2013-2017,926,ZCTA5 00926,33624,ZCTA5 00926,2135
G00927,2013-2017,927,ZCTA5 00927,32932,ZCTA5 00927,3276
G00934,2013-2017,934,ZCTA5 00934,,ZCTA5 00934,
G00936,2013-2017,936,ZCTA5 00936,,ZCTA5 00936,
G00949,2013-2017,949,ZCTA5 00949,26032,ZCTA5 00949,1002
G00950,2013-2017,950,ZCTA5 00950,,ZCTA5 00950,
G00951,2013-2017,951,ZCTA5 00951,,ZCTA5 00951,
G00952,2013-2017,952,ZCTA5 00952,15434,ZCTA5 00952,2590
G00953,2013-2017,953,ZCTA5 00953,29837,ZCTA5 00953,1511
G00956,2013-2017,956,ZCTA5 00956,23322,ZCTA5 00956,1038
G00957,2013-2017,957,ZCTA5 00957,24438,ZCTA5 00957,1243
G00959,2013-2017,959,ZCTA5 00959,29737,ZCTA5 00959,1876
G00960,2013-2017,960,ZCTA5 00960,,ZCTA5 00960,
G00961,2013-2017,961,ZCTA5 00961,28455,ZCTA5 00961,2783
G00962,2013-2017,962,ZCTA5 00962,16135,ZCTA5 00962,1352
G00965,2013-2017,965,ZCTA5 00965,15369,ZCTA5 00965,1492
G00966,2013-2017,966,ZCTA5 00966,51318,ZCTA5 00966,5562
G00968,2013-2017,968,ZCTA5 00968,45811,ZCTA5 00968,6514
G00969,2013-2017,969,ZCTA5 00969,51604,ZCTA5 00969,4422
G00971,2013-2017,971,ZCTA5 00971,20604,ZCTA5 00971,1537
G00976,2013-2017,976,ZCTA5 00976,30801,ZCTA5 00976,1232
G00979,2013-2017,979,ZCTA5 00979,34284,ZCTA5 00979,2608
G00982,2013-2017,982,ZCTA5 00982,25935,ZCTA5 00982,4024
G00983,2013-2017,983,ZCTA5 00983,27149,ZCTA5 00983,2469
G00985,2013-2017,985,ZCTA5 00985,24834,ZCTA5 00985,1177
G00987,2013-2017,987,ZCTA5 00987,32967,ZCTA5 00987,1543
G01001,2013-2017,1001,ZCTA5 01001,57694,ZCTA5 01001,5131
G01002,2013-2017,1002,ZCTA5 01002,52379,ZCTA5 01002,4504
G01003,2013-2017,1003,ZCTA5 01003,2499,ZCTA5 01003,
G01005,2013-2017,1005,ZCTA5 01005,70325,ZCTA5 01005,10858
G01007,2013-2017,1007,ZCTA5 01007,86165,ZCTA5 01007,6131
G01008,2013-2017,1008,ZCTA5 01008,62750,ZCTA5 01008,8187
G01009,2013-2017,1009,ZCTA5 01009,59440,ZCTA5 01009,58074
G01010,2013-2017,1010,ZCTA5 01010,86523,ZCTA5 01010,8493
G01011,2013-2017,1011,ZCTA5 01011,75263,ZCTA5 01011,12333
G01012,2013-2017,1012,ZCTA5 01012,70114,ZCTA5 01012,14194
G01013,2013-2017,1013,ZCTA5 01013,39868,ZCTA5 01013,4033
G01020,2013-2017,1020,ZCTA5 01020,58780,ZCTA5 01020,3481
G01022,2013-2017,1022,ZCTA5 01022,43349,ZCTA5 01022,6611
G01026,2013-2017,1026,ZCTA5 01026,51442,ZCTA5 01026,11977
G01027,2013-2017,1027,ZCTA5 01027,63699,ZCTA5 01027,3584
G01028,2013-2017,1028,ZCTA5 01028,85221,ZCTA5 01028,3581
G01029,2013-2017,1029,ZCTA5 01029,50750,ZCTA5 01029,17140
G01030,2013-2017,1030,ZCTA5 01030,71716,ZCTA5 01030,8923
G01031,2013-2017,1031,ZCTA5 01031,41875,ZCTA5 01031,11299
G01032,2013-2017,1032,ZCTA5 01032,78011,ZCTA5 01032,6265
G01033,2013-2017,1033,ZCTA5 01033,89965,ZCTA5 01033,9371
G01034,2013-2017,1034,ZCTA5 01034,87045,ZCTA5 01034,7377
G01035,2013-2017,1035,ZCTA5 01035,58953,ZCTA5 01035,5771
G01036,2013-2017,1036,ZCTA5 01036,81304,ZCTA5 01036,9699
G01037,2013-2017,1037,ZCTA5 01037,92750,ZCTA5 01037,16644
G01038,2013-2017,1038,ZCTA5 01038,67096,ZCTA5 01038,9535
G01039,2013-2017,1039,ZCTA5 01039,80000,ZCTA5 01039,18502
G01040,2013-2017,1040,ZCTA5 01040,37954,ZCTA5 01040,3616
G01050,2013-2017,1050,ZCTA5 01050,68869,ZCTA5 01050,15187
G01053,2013-2017,1053,ZCTA5 01053,62222,ZCTA5 01053,18081
G01054,2013-2017,1054,ZCTA5 01054,87174,ZCTA5 01054,9243
G01056,2013-2017,1056,ZCTA5 01056,67715,ZCTA5 01056,5145
G01057,2013-2017,1057,ZCTA5 01057,78986,ZCTA5 01057,5248
G01060,2013-2017,1060,ZCTA5 01060,57485,ZCTA5 01060,4602
G01062,2013-2017,1062,ZCTA5 01062,73438,ZCTA5 01062,10533
G01063,2013-2017,1063,ZCTA5 01063,,ZCTA5 01063,
G01066,2013-2017,1066,ZCTA5 01066,,ZCTA5 01066,
G01068,2013-2017,1068,ZCTA5 01068,85938,ZCTA5 01068,7114
G01069,2013-2017,1069,ZCTA5 01069,59211,ZCTA5 01069,11020
G01070,2013-2017,1070,ZCTA5 01070,57000,ZCTA5 01070,8954
G01071,2013-2017,1071,ZCTA5 01071,67132,ZCTA5 01071,9142
G01072,2013-2017,1072,ZCTA5 01072,72000,ZCTA5 01072,8078
G01073,2013-2017,1073,ZCTA5 01073,89423,ZCTA5 01073,20579
G01074,2013-2017,1074,ZCTA5 01074,61603,ZCTA5 01074,37061
G01075,2013-2017,1075,ZCTA5 01075,66681,ZCTA5 01075,5459
G01077,2013-2017,1077,ZCTA5 01077,76737,ZCTA5 01077,6875
G01079,2013-2017,1079,ZCTA5 01079,27105,ZCTA5 01079,8866
G01080,2013-2017,1080,ZCTA5 01080,49844,ZCTA5 01080,15537
G01081,2013-2017,1081,ZCTA5 01081,50465,ZCTA5 01081,9205
G01082,2013-2017,1082,ZCTA5 01082,51768,ZCTA5 01082,5264
G01083,2013-2017,1083,ZCTA5 01083,65547,ZCTA5 01083,29430
G01084,2013-2017,1084,ZCTA5 01084,90625,ZCTA5 01084,36140
G01085,2013-2017,1085,ZCTA5 01085,62423,ZCTA5 01085,3615
G01086,2013-2017,1086,ZCTA5 01086,,ZCTA5 01086,
G01088,2013-2017,1088,ZCTA5 01088,51406,ZCTA5 01088,19614
G01089,2013-2017,1089,ZCTA5 01089,51735,ZCTA5 01089,3746
G01092,2013-2017,1092,ZCTA5 01092,75799,ZCTA5 01092,33580
G01093,2013-2017,1093,ZCTA5 01093,103750,ZCTA5 01093,42112
G01094,2013-2017,1094,ZCTA5 01094,21250,ZCTA5 01094,12423
G01095,2013-2017,1095,ZCTA5 01095,104128,ZCTA5 01095,7377
G01096,2013-2017,1096,ZCTA5 01096,77083,ZCTA5 01096,7383
G01097,2013-2017,1097,ZCTA5 01097,,ZCTA5 01097,
G01098,2013-2017,1098,ZCTA5 01098,76563,ZCTA5 01098,11591
G01103,2013-2017,1103,ZCTA5 01103,16720,ZCTA5 01103,3542
G01104,2013-2017,1104,ZCTA5 01104,30053,ZCTA5 01104,3439
G01105,2013-2017,1105,ZCTA5 01105,17569,ZCTA5 01105,2770
G01106,2013-2017,1106,ZCTA5 01106,111231,ZCTA5 01106,9448
G01107,2013-2017,1107,ZCTA5 01107,26772,ZCTA5 01107,3963
G01108,2013-2017,1108,ZCTA5 01108,38499,ZCTA5 01108,3024
G01109,2013-2017,1109,ZCTA5 01109,35191,ZCTA5 01109,2334
G01118,2013-2017,1118,ZCTA5 01118,61112,ZCTA5 01118,6114
G01119,2013-2017,1119,ZCTA5 01119,47439,ZCTA5 01119,7171
G01128,2013-2017,1128,ZCTA5 01128,65977,ZCTA5 01128,10525
G01129,2013-2017,1129,ZCTA5 01129,63895,ZCTA5 01129,3623
G01151,2013-2017,1151,ZCTA5 01151,40360,ZCTA5 01151,2556
G01199,2013-2017,1199,ZCTA5 01199,,ZCTA5 01199,
G01201,2013-2017,1201,ZCTA5 01201,47614,ZCTA5 01201,2560
G01220,2013-2017,1220,ZCTA5 01220,49777,ZCTA5 01220,2823
G01222,2013-2017,1222,ZCTA5 01222,74583,ZCTA5 01222,10038
G01223,2013-2017,1223,ZCTA5 01223,77857,ZCTA5 01223,8496
G01224,2013-2017,1224,ZCTA5 01224,38446,ZCTA5 01224,18301
G01225,2013-2017,1225,ZCTA5 01225,61512,ZCTA5 01225,13199
G01226,2013-2017,1226,ZCTA5 01226,61063,ZCTA5 01226,8641
G01229,2013-2017,1229,ZCTA5 01229,29000,ZCTA5 01229,22917
G01230,2013-2017,1230,ZCTA5 01230,65214,ZCTA5 01230,9179
G01235,2013-2017,1235,ZCTA5 01235,63000,ZCTA5 01235,5169
G01236,2013-2017,1236,ZCTA5 01236,57014,ZCTA5 01236,17393
G01237,2013-2017,1237,ZCTA5 01237,84615,ZCTA5 01237,14040
G01238,2013-2017,1238,ZCTA5 01238,67708,ZCTA5 01238,11240
G01240,2013-2017,1240,ZCTA5 01240,68948,ZCTA5 01240,9802
G01242,2013-2017,1242,ZCTA5 01242,81172,ZCTA5 01242,45686
G01243,2013-2017,1243,ZCTA5 01243,71979,ZCTA5 01243,6797
G01244,2013-2017,1244,ZCTA5 01244,55556,ZCTA5 01244,46218
G01245,2013-2017,1245,ZCTA5 01245,69821,ZCTA5 01245,14596
G01247,2013-2017,1247,ZCTA5 01247,40928,ZCTA5 01247,2788
G01253,2013-2017,1253,ZCTA5 01253,74554,ZCTA5 01253,12548
G01254,2013-2017,1254,ZCTA5 01254,92083,ZCTA5 01254,20078
G01255,2013-2017,1255,ZCTA5 01255,68636,ZCTA5 01255,9566
G01256,2013-2017,1256,ZCTA5 01256,55375,ZCTA5 01256,10210
G01257,2013-2017,1257,ZCTA5 01257,59500,ZCTA5 01257,50828
G01258,2013-2017,1258,ZCTA5 01258,57917,ZCTA5 01258,14024
G01259,2013-2017,1259,ZCTA5 01259,62727,ZCTA5 01259,23626
G01260,2013-2017,1260,ZCTA5 01260,112756,ZCTA5 01260,71074
G01262,2013-2017,1262,ZCTA5 01262,36042,ZCTA5 01262,14366
G01264,2013-2017,1264,ZCTA5 01264,80000,ZCTA5 01264,20151
G01266,2013-2017,1266,ZCTA5 01266,74107,ZCTA5 01266,12853
G01267,2013-2017,1267,ZCTA5 01267,78068,ZCTA5 01267,11246
G01270,2013-2017,1270,ZCTA5 01270,80000,ZCTA5 01270,16667
G01301,2013-2017,1301,ZCTA5 01301,48477,ZCTA5 01301,4117
G01330,2013-2017,1330,ZCTA5 01330,74167,ZCTA5 01330,8749
G01331,2013-2017,1331,ZCTA5 01331,53733,ZCTA5 01331,6069
G01337,2013-2017,1337,ZCTA5 01337,66085,ZCTA5 01337,2001
G01338,2013-2017,1338,ZCTA5 01338,57750,ZCTA5 01338,18426
G01339,2013-2017,1339,ZCTA5 01339,55313,ZCTA5 01339,6347
G01340,2013-2017,1340,ZCTA5 01340,53125,ZCTA5 01340,4134
G01341,2013-2017,1341,ZCTA5 01341,101023,ZCTA5 01341,11759
G01342,2013-2017,1342,ZCTA5 01342,106146,ZCTA5 01342,59386
G01343,2013-2017,1343,ZCTA5 01343,85781,ZCTA5 01343,13095
G01344,2013-2017,1344,ZCTA5 01344,70109,ZCTA5 01344,12074
G01346,2013-2017,1346,ZCTA5 01346,60208,ZCTA5 01346,4148
G01347,2013-2017,1347,ZCTA5 01347,52647,ZCTA5 01347,16322
G01349,2013-2017,1349,ZCTA5 01349,61630,ZCTA5 01349,8948
G01350,2013-2017,1350,ZCTA5 01350,31458,ZCTA5 01350,3537
G01351,2013-2017,1351,ZCTA5 01351,82548,ZCTA5 01351,16801
G01354,2013-2017,1354,ZCTA5 01354,69226,ZCTA5 01354,6186
G01355,2013-2017,1355,ZCTA5 01355,70313,ZCTA5 01355,9189
G01360,2013-2017,1360,ZCTA5 01360,69028,ZCTA5 01360,14942
G01364,2013-2017,1364,ZCTA5 01364,43413,ZCTA5 01364,4247
G01366,2013-2017,1366,ZCTA5 01366,65529,ZCTA5 01366,6121
G01367,2013-2017,1367,ZCTA5 01367,55469,ZCTA5 01367,11308
G01368,2013-2017,1368,ZCTA5 01368,72813,ZCTA5 01368,15405
G01370,2013-2017,1370,ZCTA5 01370,54036,ZCTA5 01370,6380
G01373,2013-2017,1373,ZCTA5 01373,74022,ZCTA5 01373,8836
G01375,2013-2017,1375,ZCTA5 01375,54886,ZCTA5 01375,13140
G01376,2013-2017,1376,ZCTA5 01376,43750,ZCTA5 01376,8141
G01378,2013-2017,1378,ZCTA5 01378,57885,ZCTA5 01378,6815
G01379,2013-2017,1379,ZCTA5 01379,43500,ZCTA5 01379,10074
G01420,2013-2017,1420,ZCTA5 01420,51412,ZCTA5 01420,3541
G01430,2013-2017,1430,ZCTA5 01430,85064,ZCTA5 01430,15216
G01431,2013-2017,1431,ZCTA5 01431,95833,ZCTA5 01431,9510
G01432,2013-2017,1432,ZCTA5 01432,79750,ZCTA5 01432,8769
G01434,2013-2017,1434,ZCTA5 01434,50547,ZCTA5 01434,42273
G01436,2013-2017,1436,ZCTA5 01436,60156,ZCTA5 01436,23826
G01438,2013-2017,1438,ZCTA5 01438,74142,ZCTA5 01438,29008
G01440,2013-2017,1440,ZCTA5 01440,48915,ZCTA5 01440,4311
G01450,2013-2017,1450,ZCTA5 01450,123918,ZCTA5 01450,7787
G01451,2013-2017,1451,ZCTA5 01451,143625,ZCTA5 01451,16215
G01452,2013-2017,1452,ZCTA5 01452,93387,ZCTA5 01452,10593
G01453,2013-2017,1453,ZCTA5 01453,57610,ZCTA5 01453,3408
G01460,2013-2017,1460,ZCTA5 01460,119177,ZCTA5 01460,4518
G01462,2013-2017,1462,ZCTA5 01462,97775,ZCTA5 01462,11441
G01463,2013-2017,1463,ZCTA5 01463,90029,ZCTA5 01463,6385
G01464,2013-2017,1464,ZCTA5 01464,67541,ZCTA5 01464,6872
G01467,2013-2017,1467,ZCTA5 01467,98036,ZCTA5 01467,72492
G01468,2013-2017,1468,ZCTA5 01468,64872,ZCTA5 01468,12412
G01469,2013-2017,1469,ZCTA5 01469,84489,ZCTA5 01469,8323
G01473,2013-2017,1473,ZCTA5 01473,100071,ZCTA5 01473,12561
G01474,2013-2017,1474,ZCTA5 01474,84851,ZCTA5 01474,25154
G01475,2013-2017,1475,ZCTA5 01475,64539,ZCTA5 01475,10445
G01501,2013-2017,1501,ZCTA5 01501,74576,ZCTA5 01501,4682
G01503,2013-2017,1503,ZCTA5 01503,97417,ZCTA5 01503,13384
G01504,2013-2017,1504,ZCTA5 01504,80260,ZCTA5 01504,6544
G01505,2013-2017,1505,ZCTA5 01505,97074,ZCTA5 01505,12278
G01506,2013-2017,1506,ZCTA5 01506,64219,ZCTA5 01506,12424
G01507,2013-2017,1507,ZCTA5 01507,93921,ZCTA5 01507,6727
G01510,2013-2017,1510,ZCTA5 01510,68362,ZCTA5 01510,10147
G01515,2013-2017,1515,ZCTA5 01515,80234,ZCTA5 01515,9317
G01516,2013-2017,1516,ZCTA5 01516,94531,ZCTA5 01516,9783
G01518,2013-2017,1518,ZCTA5 01518,58438,ZCTA5 01518,34123
G01519,2013-2017,1519,ZCTA5 01519,106250,ZCTA5 01519,17959
G01520,2013-2017,1520,ZCTA5 01520,99674,ZCTA5 01520,7358
G01521,2013-2017,1521,ZCTA5 01521,78348,ZCTA5 01521,6164
G01522,2013-2017,1522,ZCTA5 01522,104508,ZCTA5 01522,6026
G01523,2013-2017,1523,ZCTA5 01523,104630,ZCTA5 01523,4984
G01524,2013-2017,1524,ZCTA5 01524,64135,ZCTA5 01524,12031
G01525,2013-2017,1525,ZCTA5 01525,,ZCTA5 01525,
G01527,2013-2017,1527,ZCTA5 01527,74713,ZCTA5 01527,9857
G01529,2013-2017,1529,ZCTA5 01529,90500,ZCTA5 01529,16577
G01531,2013-2017,1531,ZCTA5 01531,84432,ZCTA5 01531,11734
G01532,2013-2017,1532,ZCTA5 01532,111875,ZCTA5 01532,6564
G01534,2013-2017,1534,ZCTA5 01534,89348,ZCTA5 01534,15097
G01535,2013-2017,1535,ZCTA5 01535,73133,ZCTA5 01535,6673
G01536,2013-2017,1536,ZCTA5 01536,105283,ZCTA5 01536,9190
G01537,2013-2017,1537,ZCTA5 01537,74883,ZCTA5 01537,12053
G01540,2013-2017,1540,ZCTA5 01540,68865,ZCTA5 01540,9207
G01541,2013-2017,1541,ZCTA5 01541,128006,ZCTA5 01541,10525
G01542,2013-2017,1542,ZCTA5 01542,100000,ZCTA5 01542,11204
G01543,2013-2017,1543,ZCTA5 01543,100962,ZCTA5 01543,15116
G01545,2013-2017,1545,ZCTA5 01545,101229,ZCTA5 01545,7987
G01550,2013-2017,1550,ZCTA5 01550,50202,ZCTA5 01550,3735
G01560,2013-2017,1560,ZCTA5 01560,85390,ZCTA5 01560,7757
G01561,2013-2017,1561,ZCTA5 01561,,ZCTA5 01561,
G01562,2013-2017,1562,ZCTA5 01562,65386,ZCTA5 01562,5219
G01564,2013-2017,1564,ZCTA5 01564,102500,ZCTA5 01564,19827
G01566,2013-2017,1566,ZCTA5 01566,95800,ZCTA5 01566,11895
G01568,2013-2017,1568,ZCTA5 01568,119115,ZCTA5 01568,7880
G01569,2013-2017,1569,ZCTA5 01569,94809,ZCTA5 01569,7378
G01570,2013-2017,1570,ZCTA5 01570,52107,ZCTA5 01570,3984
G01571,2013-2017,1571,ZCTA5 01571,64281,ZCTA5 01571,4823
G01581,2013-2017,1581,ZCTA5 01581,107604,ZCTA5 01581,9245
G01583,2013-2017,1583,ZCTA5 01583,73463,ZCTA5 01583,7426
G01585,2013-2017,1585,ZCTA5 01585,66317,ZCTA5 01585,10139
G01588,2013-2017,1588,ZCTA5 01588,66607,ZCTA5 01588,11591
G01590,2013-2017,1590,ZCTA5 01590,101315,ZCTA5 01590,4633
G01602,2013-2017,1602,ZCTA5 01602,64808,ZCTA5 01602,5111
G01603,2013-2017,1603,ZCTA5 01603,42259,ZCTA5 01603,5036
G01604,2013-2017,1604,ZCTA5 01604,50487,ZCTA5 01604,2611
G01605,2013-2017,1605,ZCTA5 01605,37703,ZCTA5 01605,4041
G01606,2013-2017,1606,ZCTA5 01606,65135,ZCTA5 01606,5323
G01607,2013-2017,1607,ZCTA5 01607,43500,ZCTA5 01607,9711
G01608,2013-2017,1608,ZCTA5 01608,20578,ZCTA5 01608,5009
G01609,2013-2017,1609,ZCTA5 01609,42903,ZCTA5 01609,4203
G01610,2013-2017,1610,ZCTA5 01610,31003,ZCTA5 01610,2058
G01611,2013-2017,1611,ZCTA5 01611,81830,ZCTA5 01611,29372
G01612,2013-2017,1612,ZCTA5 01612,95595,ZCTA5 01612,12847
G01701,2013-2017,1701,ZCTA5 01701,105940,ZCTA5 01701,5105
G01702,2013-2017,1702,ZCTA5 01702,52746,ZCTA5 01702,4476
G01718,2013-2017,1718,ZCTA5 01718,160750,ZCTA5 01718,66908
G01719,2013-2017,1719,ZCTA5 01719,101077,ZCTA5 01719,7442
G01720,2013-2017,1720,ZCTA5 01720,133075,ZCTA5 01720,4937
G01721,2013-2017,1721,ZCTA5 01721,120309,ZCTA5 01721,7535
G01730,2013-2017,1730,ZCTA5 01730,125208,ZCTA5 01730,8323
G01731,2013-2017,1731,ZCTA5 01731,93276,ZCTA5 01731,10488
G01740,2013-2017,1740,ZCTA5 01740,151618,ZCTA5 01740,10527
G01741,2013-2017,1741,ZCTA5 01741,170703,ZCTA5 01741,26039
G01742,2013-2017,1742,ZCTA5 01742,137547,ZCTA5 01742,6077
G01745,2013-2017,1745,ZCTA5 01745,123992,ZCTA5 01745,16660
G01746,2013-2017,1746,ZCTA5 01746,118933,ZCTA5 01746,8218
G01747,2013-2017,1747,ZCTA5 01747,101761,ZCTA5 01747,6983
G01748,2013-2017,1748,ZCTA5 01748,151357,ZCTA5 01748,15525
G01749,2013-2017,1749,ZCTA5 01749,83765,ZCTA5 01749,7053
