State,City,RegionName,Datetime,Latitude,Longitude,MonthlyPropertyAverage
CA,San Francisco,Alamo Square,1996-01-31,37.777753,-122.4377415,$276294.00
CA,San Francisco,Alamo Square,1996-02-29,37.777753,-122.4377415,$280561.00
CA,San Francisco,Alamo Square,1996-03-31,37.777753,-122.4377415,$282961.00
CA,San Francisco,Alamo Square,1996-04-30,37.777753,-122.4377415,$289087.00
CA,San Francisco,Alamo Square,1996-05-31,37.777753,-122.4377415,$295623.00
CA,San Francisco,Alamo Square,1996-06-30,37.777753,-122.4377415,$303374.00
CA,San Francisco,Alamo Square,1996-07-31,37.777753,-122.4377415,$310893.00
CA,San Francisco,Alamo Square,1996-08-31,37.777753,-122.4377415,$316106.00
CA,San Francisco,Alamo Square,1996-09-30,37.777753,-122.4377415,$319329.00
CA,San Francisco,Alamo Square,1996-10-31,37.777753,-122.4377415,$320733.00
CA,San Francisco,Alamo Square,1996-11-30,37.777753,-122.4377415,$322141.00
CA,San Francisco,Alamo Square,1996-12-31,37.777753,-122.4377415,$323030.00
CA,San Francisco,Alamo Square,1997-01-31,37.777753,-122.4377415,$324476.00
CA,San Francisco,Alamo Square,1997-02-28,37.777753,-122.4377415,$323108.00
CA,San Francisco,Alamo Square,1997-03-31,37.777753,-122.4377415,$323319.00
CA,San Francisco,Alamo Square,1997-04-30,37.777753,-122.4377415,$322304.00
CA,San Francisco,Alamo Square,1997-05-31,37.777753,-122.4377415,$321945.00
CA,San Francisco,Alamo Square,1997-06-30,37.777753,-122.4377415,$319421.00
CA,San Francisco,Alamo Square,1997-07-31,37.777753,-122.4377415,$316268.00
CA,San Francisco,Alamo Square,1997-08-31,37.777753,-122.4377415,$314233.00
CA,San Francisco,Alamo Square,1997-09-30,37.777753,-122.4377415,$313770.00
CA,San Francisco,Alamo Square,1997-10-31,37.777753,-122.4377415,$314541.00
CA,San Francisco,Alamo Square,1997-11-30,37.777753,-122.4377415,$314712.00
CA,San Francisco,Alamo Square,1997-12-31,37.777753,-122.4377415,$315700.00
